UID         PID   PPID  C STIME TTY          TIME CMD
root        165      2  0  2019 ?        00:00:01 [migration/31]
root        166      2  0  2019 ?        00:00:00 [ksoftirqd/31]
root        168      2  0  2019 ?        00:00:00 [kworker/31:0H]
root        169      2  0  2019 ?        00:00:04 [watchdog/32]
root        170      2  0  2019 ?        00:00:01 [migration/32]
root        171      2  0  2019 ?        00:00:07 [ksoftirqd/32]
root        173      2  0  2019 ?        00:00:00 [kworker/32:0H]
root        174      2  0  2019 ?        00:00:04 [watchdog/33]
root        175      2  0  2019 ?        00:00:01 [migration/33]
root        176      2  0  2019 ?        00:00:00 [ksoftirqd/33]
root        178      2  0  2019 ?        00:00:00 [kworker/33:0H]
root        179      2  0  2019 ?        00:00:04 [watchdog/34]
root        180      2  0  2019 ?        00:00:01 [migration/34]
root        181      2  0  2019 ?        00:02:30 [ksoftirqd/34]
root        183      2  0  2019 ?        00:00:00 [kworker/34:0H]
root        184      2  0  2019 ?        00:00:04 [watchdog/35]
root        185      2  0  2019 ?        00:00:00 [migration/35]
root        186      2  0  2019 ?        00:00:00 [ksoftirqd/35]
root        188      2  0  2019 ?        00:00:00 [kworker/35:0H]
root        189      2  0  2019 ?        00:00:04 [watchdog/36]
root        190      2  0  2019 ?        00:00:03 [migration/36]
root        191      2  0  2019 ?        00:03:30 [ksoftirqd/36]
root        193      2  0  2019 ?        00:00:00 [kworker/36:0H]
root        194      2  0  2019 ?        00:00:04 [watchdog/37]
root        195      2  0  2019 ?        00:00:00 [migration/37]
root        196      2  0  2019 ?        00:00:00 [ksoftirqd/37]
root        198      2  0  2019 ?        00:00:00 [kworker/37:0H]
root        199      2  0  2019 ?        00:00:04 [watchdog/38]
root        200      2  0  2019 ?        00:00:01 [migration/38]
root        201      2  0  2019 ?        00:03:12 [ksoftirqd/38]
root        203      2  0  2019 ?        00:00:00 [kworker/38:0H]
root        204      2  0  2019 ?        00:00:04 [watchdog/39]
root        205      2  0  2019 ?        00:00:01 [migration/39]
root        206      2  0  2019 ?        00:00:00 [ksoftirqd/39]
root        208      2  0  2019 ?        00:00:00 [kworker/39:0H]
root        209      2  0  2019 ?        00:00:04 [watchdog/40]
root        210      2  0  2019 ?        00:00:00 [migration/40]
root        211      2  0  2019 ?        00:00:00 [ksoftirqd/40]
root        213      2  0  2019 ?        00:00:00 [kworker/40:0H]
root        214      2  0  2019 ?        00:00:04 [watchdog/41]
root        215      2  0  2019 ?        00:00:00 [migration/41]
root        216      2  0  2019 ?        00:00:00 [ksoftirqd/41]
root        218      2  0  2019 ?        00:00:00 [kworker/41:0H]
root        219      2  0  2019 ?        00:00:04 [watchdog/42]
root        220      2  0  2019 ?        00:00:00 [migration/42]
root        221      2  0  2019 ?        00:00:00 [ksoftirqd/42]
root        223      2  0  2019 ?        00:00:00 [kworker/42:0H]
root        224      2  0  2019 ?        00:00:04 [watchdog/43]
root        225      2  0  2019 ?        00:00:00 [migration/43]
root        226      2  0  2019 ?        00:00:00 [ksoftirqd/43]
root        228      2  0  2019 ?        00:00:00 [kworker/43:0H]
root        229      2  0  2019 ?        00:00:04 [watchdog/44]
root        230      2  0  2019 ?        00:00:00 [migration/44]
root        231      2  0  2019 ?        00:00:00 [ksoftirqd/44]
root        233      2  0  2019 ?        00:00:00 [kworker/44:0H]
root        234      2  0  2019 ?        00:00:05 [watchdog/45]
root        235      2  0  2019 ?        00:00:00 [migration/45]
root        236      2  0  2019 ?        00:00:00 [ksoftirqd/45]
root        238      2  0  2019 ?        00:00:00 [kworker/45:0H]
root        239      2  0  2019 ?        00:00:04 [watchdog/46]
root        240      2  0  2019 ?        00:00:00 [migration/46]
root        241      2  0  2019 ?        00:00:00 [ksoftirqd/46]
root        243      2  0  2019 ?        00:00:00 [kworker/46:0H]
root        244      2  0  2019 ?        00:00:04 [watchdog/47]
root        245      2  0  2019 ?        00:00:00 [migration/47]
root        246      2  0  2019 ?        00:00:00 [ksoftirqd/47]
root        248      2  0  2019 ?        00:00:00 [kworker/47:0H]
root        251      2  0  2019 ?        00:00:00 [kdevtmpfs]
root        252      2  0  2019 ?        00:00:00 [netns]
root        253      2  0  2019 ?        00:00:01 [khungtaskd]
root        254      2  0  2019 ?        00:00:00 [writeback]
root        255      2  0  2019 ?        00:00:00 [kintegrityd]
root        256      2  0  2019 ?        00:00:00 [bioset]
root        257      2  0  2019 ?        00:00:00 [bioset]
root        258      2  0  2019 ?        00:00:00 [bioset]
root        259      2  0  2019 ?        00:00:00 [kblockd]
root        260      2  0  2019 ?        00:00:00 [md]
root        261      2  0  2019 ?        00:00:00 [edac-poller]
root        262      2  0  2019 ?        00:00:00 [watchdogd]
root        270      2  0  2019 ?        00:00:00 [kswapd0]
root        271      2  0  2019 ?        00:00:00 [kswapd1]
root        272      2  0  2019 ?        00:00:00 [ksmd]
root        273      2  0  2019 ?        00:00:10 [khugepaged]
root        274      2  0  2019 ?        00:00:00 [crypto]
root        282      2  0  2019 ?        00:00:00 [kthrotld]
root        284      2  0  2019 ?        00:00:00 [kmpath_rdacd]
root        285      2  0  2019 ?        00:00:00 [kaluad]
root        294      2  0  2019 ?        00:00:00 [kpsmoused]
root        296      2  0  2019 ?        00:00:00 [ipv6_addrconf]
root        309      2  0  2019 ?        00:00:00 [deferwq]
root        310      2  0  2019 ?        00:00:33 [kworker/u544:1]
root        350      2  0  2019 ?        00:00:08 [kauditd]
root        540      2  0  2019 ?        00:00:00 [nfit]
root        577      2  0  2019 ?        00:00:00 [scsi_eh_0]
root        578      2  0  2019 ?        00:00:00 [ata_sff]
root        579      2  0  2019 ?        00:00:00 [scsi_tmf_0]
root        782      2  0  2019 ?        00:00:00 [scsi_eh_1]
root        791      2  0  2019 ?        00:00:00 [scsi_tmf_1]
root        802      2  0  2019 ?        00:00:00 [scsi_eh_2]
root        804      2  0  2019 ?        00:00:00 [scsi_tmf_2]
root        809      2  0  2019 ?        00:00:00 [scsi_eh_3]
root        813      2  0  2019 ?        00:00:00 [scsi_tmf_3]
root        816      2  0  2019 ?        00:00:00 [scsi_eh_4]
root        824      2  0  2019 ?        00:00:00 [scsi_eh_5]
root        826      2  0  2019 ?        00:00:00 [scsi_tmf_4]
root        827      2  0  2019 ?        00:00:00 [scsi_tmf_5]
root        828      2  0  2019 ?        00:00:00 [usb-storage]
root        836      2  0  2019 ?        00:00:00 [scsi_eh_6]
root        838      2  0  2019 ?        00:00:00 [scsi_tmf_6]
root        845      2  0  2019 ?        00:00:00 [scsi_eh_7]
root        846      2  0  2019 ?        00:00:00 [scsi_tmf_7]
root        990      2  0  2019 ?        00:00:00 [scsi_eh_8]
root        991      2  0  2019 ?        00:00:00 [scsi_tmf_8]
root        992      2  0  2019 ?        00:00:00 [scsi_eh_9]
root        993      2  0  2019 ?        00:00:00 [scsi_tmf_9]
root        994      2  0  2019 ?        00:00:00 [scsi_eh_10]
root        995      2  0  2019 ?        00:00:00 [scsi_tmf_10]
root        996      2  0  2019 ?        00:00:00 [scsi_eh_11]
root        997      2  0  2019 ?        00:00:00 [scsi_tmf_11]
root        998      2  0  2019 ?        00:00:00 [scsi_eh_12]
root        999      2  0  2019 ?        00:00:00 [scsi_tmf_12]
root       1000      2  0  2019 ?        00:00:00 [scsi_eh_13]
root       1001      2  0  2019 ?        00:00:00 [scsi_tmf_13]
root       1002      2  0  2019 ?        00:00:00 [scsi_eh_14]
root       1003      2  0  2019 ?        00:00:00 [scsi_tmf_14]
root       1004      2  0  2019 ?        00:00:00 [scsi_eh_15]
root       1005      2  0  2019 ?        00:00:00 [scsi_tmf_15]
root       1019      2  0  2019 ?        00:00:00 [ttm_swap]
root       1022      2  0  2019 ?        00:00:00 [poll_megasas0_s]
root       1101      2  0  2019 ?        00:00:00 [kdmflush]
root       1102      2  0  2019 ?        00:00:00 [bioset]
root       1113      2  0  2019 ?        00:00:00 [kdmflush]
root       1114      2  0  2019 ?        00:00:00 [bioset]
root       1128      2  0  2019 ?        00:00:00 [bioset]
root       1129      2  0  2019 ?        00:00:00 [xfsalloc]
root       1130      2  0  2019 ?        00:00:00 [xfs_mru_cache]
root       1131      2  0  2019 ?        00:00:00 [xfs-buf/dm-0]
root       1132      2  0  2019 ?        00:00:00 [xfs-data/dm-0]
root       1133      2  0  2019 ?        00:00:00 [xfs-conv/dm-0]
root       1134      2  0  2019 ?        00:00:00 [xfs-cil/dm-0]
root       1135      2  0  2019 ?        00:00:00 [xfs-reclaim/dm-]
root       1136      2  0  2019 ?        00:00:00 [xfs-log/dm-0]
root       1137      2  0  2019 ?        00:00:00 [xfs-eofblocks/d]
root       1138      2  0  2019 ?        00:00:42 [xfsaild/dm-0]
root       1146      2  0  2019 ?        00:00:00 [kworker/0:1H]
root       1251      1  0  2019 ?        00:03:00 /usr/lib/systemd/systemd-journald
root       1276      1  0  2019 ?        00:00:00 /usr/sbin/lvmetad -f
root       1281      1  0  2019 ?        00:00:06 /usr/lib/systemd/systemd-udevd
root       1397      2  0  2019 ?        00:00:00 [irq/81-mei_me]
root       1449      2  0  2019 ?        00:00:00 [kvm-irqfd-clean]
root       1450      2  0  2019 ?        00:00:00 [xfs-buf/sda1]
root       1451      2  0  2019 ?        00:00:00 [xfs-data/sda1]
root       1452      2  0  2019 ?        00:00:00 [xfs-conv/sda1]
root       1453      2  0  2019 ?        00:00:00 [xfs-cil/sda1]
root       1454      2  0  2019 ?        00:00:00 [xfs-reclaim/sda]
root       1455      2  0  2019 ?        00:00:00 [xfs-log/sda1]
root       1456      2  0  2019 ?        00:00:00 [xfs-eofblocks/s]
root       1457      2  0  2019 ?        00:00:00 [xfsaild/sda1]
root       1921      2  0  2019 ?        00:00:00 [kdmflush]
root       1922      2  0  2019 ?        00:00:00 [bioset]
root       1924      2  0  2019 ?        00:00:00 [kdmflush]
root       1925      2  0  2019 ?        00:00:00 [bioset]
root       1937      2  0  2019 ?        00:00:00 [xfs-buf/dm-2]
root       1938      2  0  2019 ?        00:00:00 [xfs-data/dm-2]
root       1941      2  0  2019 ?        00:00:00 [xfs-conv/dm-2]
root       1942      2  0  2019 ?        00:00:00 [xfs-cil/dm-2]
root       1943      2  0  2019 ?        00:00:00 [xfs-reclaim/dm-]
root       1944      2  0  2019 ?        00:00:00 [xfs-log/dm-2]
root       1945      2  0  2019 ?        00:00:00 [xfs-eofblocks/d]
root       1946      2  0  2019 ?        00:05:06 [xfsaild/dm-2]
root       1958      2  0  2019 ?        00:00:00 [jbd2/dm-3-8]
root       1959      2  0  2019 ?        00:00:00 [ext4-rsv-conver]
root       1983      2  0  2019 ?        00:00:00 [kworker/40:1H]
root       1994      1  0  2019 ?        00:00:35 /sbin/auditd
root       1997   1994  0  2019 ?        00:00:41 /sbin/audispd
root       1999   1997  0  2019 ?        00:00:24 /usr/sbin/sedispatch
root       2001      2  0  2019 ?        00:00:00 [rpciod]
root       2002      2  0  2019 ?        00:00:00 [xprtiod]
root       2035      1  0  2019 ?        00:13:36 /usr/sbin/irqbalance --foreground
polkitd    2037      1  0  2019 ?        00:00:36 /usr/lib/polkit-1/polkitd --no-debug
dbus       2039      1  0  2019 ?        00:04:19 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation
rpc        2041      1  0  2019 ?        00:00:04 /sbin/rpcbind -w
chrony     2046      1  0  2019 ?        00:00:04 /usr/sbin/chronyd
root       2082      1  0  2019 ?        00:02:00 /usr/bin/python2 -Es /usr/sbin/firewalld --nofork --nopid
root       2084      1  0  2019 ?        00:00:01 /usr/sbin/gssproxy -D
root       2102      2  0  2019 ?        00:00:02 [kworker/15:1H]
root       2108      1  0  2019 ?        00:02:20 /usr/lib/systemd/systemd-logind
root       2110      1  0  2019 ?        00:00:41 /usr/sbin/NetworkManager --no-daemon
root       2180      2  0  2019 ?        00:00:00 [kworker/29:1H]
root       2243      2  0  2019 ?        00:00:00 [kworker/21:1H]
root       2257      2  0  2019 ?        00:00:00 [kworker/5:1H]
root       2262      2  0  2019 ?        00:00:00 [kworker/11:1H]
root       2266      2  0  2019 ?        00:00:00 [kworker/23:1H]
root       2269   2110  0  2019 ?        00:00:00 /sbin/dhclient -d -q -sf /usr/libexec/nm-dhcp-helper -pf /var/run/dhclient-em1.pid -lf /var/lib/NetworkManager/dhclient-1dad842d-1912-ef5a-a43a-bc238fb267e7-em1.lease -cf /var/lib/NetworkManager/dhclient-em1.conf em1
root       2274      2  0  2019 ?        00:00:00 [kworker/2:1H]
root       2276      2  0  2019 ?        00:00:00 [kworker/17:1H]
root       2281      2  0  2019 ?        00:00:00 [kworker/8:1H]
root       2282      2  0  2019 ?        00:00:00 [kworker/20:1H]
root       2477      1  0  2019 ?        00:00:52 /usr/sbin/sshd -D
root       2478      1  0  2019 ?        00:02:18 /usr/bin/python2 -Es /usr/sbin/tuned -l -P
root       2479      1  0  2019 ?        00:00:00 /usr/sbin/cupsd -f
root       2480      1  0  2019 ?        00:43:46 /usr/bin/python /usr/bin/goferd --foreground
root       2482      1  0  2019 ?        00:01:08 /opt/puppetlabs/puppet/bin/ruby /opt/puppetlabs/puppet/bin/puppet agent --no-daemonize
root       2488      1  0  2019 ?        00:02:01 /usr/sbin/rsyslogd -n
root       2492      1  0  2019 ?        00:00:00 /usr/bin/rhsmcertd
root       2496      1  0  2019 ?        00:20:28 /usr/bin/python -s /usr/bin/fail2ban-server -xf start
rpcuser    2497      1  0  2019 ?        00:00:01 /usr/sbin/rpc.statd
root       2499      2  0  2019 ?        00:00:00 [kworker/14:1H]
root       2535      2  0  2019 ?        00:00:00 [nfsiod]
root       2545      2  0  2019 ?        00:00:00 [kworker/6:1H]
root       2546      2  0  2019 ?        00:00:00 [kworker/16:1H]
root       2549      2  0  2019 ?        00:00:00 [kworker/18:1H]
root       2550      2  0  2019 ?        00:00:00 [lockd]
root       2566      1  0  2019 ?        00:00:16 /usr/sbin/crond -n
root       2567      1  0  2019 ?        00:00:00 /usr/sbin/atd -f
root       2601      2  0  2019 ?        00:00:00 [kworker/12:1H]
root       2648      1  0  2019 tty1     00:00:00 /sbin/agetty --noclear tty1 linux
root       2958      1  0  2019 ?        00:00:14 /usr/libexec/postfix/master -w
postfix    2969   2958  0  2019 ?        00:00:04 qmgr -l -t unix -u
root       3696      2  0  2019 ?        00:00:00 [kworker/4:1H]
root       5952      2  0  2019 ?        00:00:00 [kworker/22:1H]
root       6553      2  0  2019 ?        00:00:00 [kworker/27:1H]
root       7144      2  0  2019 ?        00:00:00 [kworker/36:1H]
root       7347      2  0  2019 ?        00:04:51 [kworker/34:1H]
root       7542      2  0  2019 ?        00:00:00 [kworker/13:1H]
root       8140      2  0  2019 ?        00:00:00 [kworker/28:1H]
root       8687      2  0  2019 ?        00:00:00 [kworker/39:1H]
root       9186      2  0  2019 ?        00:00:00 [kworker/33:1H]
root       9456      2  0  2019 ?        00:00:00 [kworker/19:1H]
root      10511      2  0  2019 ?        00:00:00 [kworker/10:1H]
root      11908      2  0  2019 ?        00:00:00 [kworker/37:1H]
root      12042      2  0  2019 ?        00:00:00 [kworker/26:1H]
root      12049      2  0  2019 ?        00:00:00 [kworker/3:1H]
root      12063      2  0  2019 ?        00:00:00 [kworker/9:1H]
root      12069      2  0  2019 ?        00:00:00 [kworker/7:1H]
root      12110      2  0  2019 ?        00:00:00 [kworker/1:1H]
root      12510      2  0  2019 ?        00:00:00 [kworker/38:1H]
root      13431      2  0  2019 ?        00:00:00 [kworker/30:1H]
pete      13695      1  0  2019 ?        00:00:00 svnserve -d --listen-port=3691 -r /home/pete/formal/SVN/EXTERNAL
root      14599      2  0  2019 ?        00:00:00 [kworker/32:1H]
root      16683      2  0  2019 ?        00:00:00 [kworker/43:1H]
root      16712      2  0  2019 ?        00:00:00 [kworker/41:1H]
root      17920      2  0  2019 ?        00:00:00 [kworker/25:1H]
root      18090      2  0  2019 ?        00:00:00 [kworker/42:1H]
root      18789      2  0  2019 ?        00:00:00 [kworker/45:1H]
root      21440      2  0  2019 ?        00:00:00 [kworker/47:1H]
root      34800   2477  0 Jan09 ?        00:00:00 sshd: denmanj [priv]
denmanj   34811  34800  0 Jan09 ?        00:00:00 sshd: denmanj@pts/19
denmanj   34812  34811  0 Jan09 pts/19   00:00:00 -bash
kyleacm+  37318      1  0 Jan09 ?        00:00:19 tmux
kyleacm+  37319  37318  0 Jan09 pts/23   00:00:00 -bash
kyleacm+  37375  37318  0 Jan09 pts/24   00:00:00 -bash
zrchencn  46823 230289  0 Jan06 pts/17   00:00:00 -bash
zrchencn  46875 230289  0 Jan06 pts/18   00:00:00 -bash
tsengjo+  47401      1  0 Jan08 ?        00:00:00 sh /home/tsengjonathan/.vscode-server/bin/26076a4de974ead31f97692a0d32f90d735645c0/server.sh --host=127.0.0.1 --enable-remote-auto-shutdown --port=0
tsengjo+  47409  47401  0 Jan08 ?        00:01:15 /home/tsengjonathan/.vscode-server/bin/26076a4de974ead31f97692a0d32f90d735645c0/node /home/tsengjonathan/.vscode-server/bin/26076a4de974ead31f97692a0d32f90d735645c0/out/vs/server/main.js --host=127.0.0.1 --enable-remote-auto-shutdown --port=0
zrchencn  48508 230289  0 Jan06 pts/16   00:00:00 -bash
root      50090      1  0 Jan09 ?        00:00:00 /usr/sbin/sssd -i --logger=files
root      50091  50090  0 Jan09 ?        00:06:09 /usr/libexec/sssd/sssd_be --domain default --uid 0 --gid 0 --logger=files
root      50092  50090  0 Jan09 ?        00:01:10 /usr/libexec/sssd/sssd_nss --uid 0 --gid 0 --logger=files
root      50093  50090  0 Jan09 ?        00:00:15 /usr/libexec/sssd/sssd_pam --uid 0 --gid 0 --logger=files
root      50094  50090  0 Jan09 ?        00:00:07 /usr/libexec/sssd/sssd_autofs --uid 0 --gid 0 --logger=files
root      50095  50090  0 Jan09 ?        00:00:00 /usr/libexec/sssd/sssd_ssh --uid 0 --gid 0 --logger=files
root      51405      1  0 Jan09 ?        00:01:23 /usr/sbin/automount --systemd-service --dont-check-daemon
root      56667      2  0  2019 ?        00:00:00 [kworker/44:1H]
florisd   58363      1  0 Jan09 ?        00:00:14 tmux
florisd   58364  58363  0 Jan09 pts/37   00:00:00 -bash
nrose619  62345 232256  0 Jan08 pts/32   00:00:00 -bash
root      70734      2  0  2019 ?        00:00:00 [kworker/31:1H]
gerard    76152      1  0 Jan09 ?        00:00:00 ssh-agent -s
ariflei+  76155      1  0 Jan09 ?        00:00:00 ssh-agent -s
root      80415      2  0  2019 ?        00:00:00 [kworker/24:1H]
root      86082      2  0 Jan09 ?        00:00:00 [kworker/46:2]
root      96559      2  0 Jan09 ?        00:00:00 [kworker/40:0]
root      97320      2  0  2019 ?        00:00:00 [kworker/35:1H]
root      97362      2  0  2019 ?        00:00:00 [kworker/46:1H]
tsengjo+  97932  47409  1 Jan08 ?        00:28:13 /home/tsengjonathan/.vscode-server/bin/26076a4de974ead31f97692a0d32f90d735645c0/node /home/tsengjonathan/.vscode-server/bin/26076a4de974ead31f97692a0d32f90d735645c0/out/bootstrap-fork --type=extensionHost --uriTransformerPath=/home/tsengjonathan/.vscode-server/bin/26076a4de974ead31f97692a0d32f90d735645c0/out/vs/server/uriTransformer.js
tsengjo+  97943  47409  0 Jan08 ?        00:00:03 /home/tsengjonathan/.vscode-server/bin/26076a4de974ead31f97692a0d32f90d735645c0/node /home/tsengjonathan/.vscode-server/bin/26076a4de974ead31f97692a0d32f90d735645c0/out/bootstrap-fork --type=watcherService
nrose619 100486 232256  0 Jan08 pts/40   00:00:00 -bash
nrose619 112457 232256  0 Jan08 pts/57   00:00:00 -bash
elikir   115483      1  0 Jan09 ?        00:00:13 tmux
elikir   116891 115483  0 Jan09 pts/87   00:00:00 -bash
elikir   116956 116891  0 Jan09 pts/87   00:00:04 vim vector.cpp
edward   117037      1  0 Jan08 ?        00:00:00 sh /home/edward/.vscode-server-oss/bin/8b6e0efc0a98639085fabeb5226a516785424796/server.sh --host=127.0.0.1 --enable-remote-auto-shutdown --disable-telemetry --port=0
